serial,name,value,notes
C0116,CC_cala,0.0272,"CO2 Cal Coeffs, a, 4/9/15"
C0116,CC_calb,0.6758,"CO2 Cal Coeffs, b, 4/9/15"
C0116,CC_calc,-1.6245,"CO2 Cal Coeffs, c, 4/9/15"
C0116,CC_calt,14.655,"CO2 Cal Temp, T, 4/9/15"
C0116,CC_ea434,19706,"NO CHANGE, Hardcoded based on email from Chris Wingard"
C0116,CC_ea620,34,"NO CHANGE, Hardcoded based on email from Chris Wingard"
C0116,CC_eb434,3073,"NO CHANGE, Hardcoded based on email from Chris Wingard"
C0116,CC_eb620,44327,"NO CHANGE, Hardcoded based on email from Chris Wingard"
