serial,name,value,notes
C0076,CC_cala,0.0862,
C0076,CC_calb,0.4189,
C0076,CC_calc,-1.2160,
C0076,CC_calt,7.9599,
C0076,CC_ea434,19706,
C0076,CC_ea620,34,
C0076,CC_eb434,3073,
C0076,CC_eb620,44327,
