serial,name,value,notes
C0117,CC_cala,0.0766,"CO2 Cal Coeffs, a, 4/9/15"
C0117,CC_calb,0.4698,"CO2 Cal Coeffs, b, 4/9/15"
C0117,CC_calc,-1.3974,"CO2 Cal Coeffs, c, 4/9/15"
C0117,CC_calt,14.6885,"CO2 Cal Temp, T, 4/9/15"
C0117,CC_ea434,19706,"NO CHANGE, Hardcoded based on email from Chris Wingard"
C0117,CC_ea620,34,"NO CHANGE, Hardcoded based on email from Chris Wingard"
C0117,CC_eb434,3073,"NO CHANGE, Hardcoded based on email from Chris Wingard"
C0117,CC_eb620,44327,"NO CHANGE, Hardcoded based on email from Chris Wingard"
