serial,name,value,notes
C0116,CC_cala,0.0523,
C0116,CC_calb,0.6203,
C0116,CC_calc,-1.5475,
C0116,CC_calt,4.6823,
C0116,CC_ea434,19706,
C0116,CC_ea620,34,
C0116,CC_eb434,3073,
C0116,CC_eb620,44327,
C0116,CC_k434,0.5901,
C0116,CC_k620,0.9625,
C0116,CC_range,"[201,1196]",
