serial,name,value,notes
C0123,CC_cala,0.0422,"CO2 Cal Coeffs, a, 1/17/17"
C0123,CC_calb,0.6761,"CO2 Cal Coeffs, b, 1/17/17"
C0123,CC_calc,-1.5798,"CO2 Cal Coeffs, c, 1/17/17"
C0123,CC_calt,4.6539,"CO2 Cal Temp, T, 1/17/17"
C0123,CC_ea434,19706,Constants provided by email correspondance with Orest Kawka and Brandon Wasser
C0123,CC_ea620,34,Constants provided by email correspondance with Orest Kawka and Brandon Wasser
C0123,CC_eb434,3073,Constants provided by email correspondance with Orest Kawka and Brandon Wasser
C0123,CC_eb620,44327,Constants provided by email correspondance with Orest Kawka and Brandon Wasser
